Names,NAB_M9,CAB_M9,NAB_M9T,CAB_M9T
b4367,1679.13451466667,1772.2976585,1536.8843425,1938.367919
b4567,6999.35421433333,6960.321832,6851.9393725,6553.883936
b4371,19.5344943333333,22.9972845,19.162985,19.260595
b4372,46.6373626666667,35.9496345,43.4150195,37.935777
b4373,183.612313,175.9396905,179.0834105,202.969503
b4374,34.1894656666667,39.219201,29.3850925,32.676512
b4375,77.8556456666667,88.1779375,95.321735,96.745334
b4376,2106.187264,3303.826255,1950.541356,4057.16992
b4568,764.582139666667,1221.6581135,572.538497,1048.095418
b4377,64.8071156666667,65.0402965,65.6041575,81.078047
b4378,72.3838953333333,69.387681,60.229074,75.623552
