Names,NAB,CAB_1,CAB_2
b0001,0,0,0
b0002,505.514492,541.468376333333,602.616453666667
b0003,428.035411,427.833664333333,458.738783333333
b0004,306.427271333333,271.319977666667,326.853037
b0005,83.891539,89.16244,95.540108
b0006,24.2544483333333,21.9583323333333,25.535523
b0007,13.294157,14.2608006666667,12.6729456666667
b0008,1239.03906966667,1176.34157566667,1316.79504966667
b0009,109.082739333333,85.638443,103.048582333333
b0010,56.554697,54.1456966666667,54.652105
b0011,3.89060766666667,4.82206266666667,4.16458666666667
b0012,0,0,0
b0013,3.83934933333333,2.005568,2.40608166666667
b0014,1920.37067333333,1837.935475,2010.656033
b0015,276.501641,277.93709,271.574713666667
b0016,132.679317666667,141.712734,129.30499
b0018,75.9608136666667,38.9985763333333,48.5033953333333
b4412,0,35.4939793333333,59.4201133333333
b0019,279.151617666667,338.144328666667,278.344650333333
b0020,61.0698643333333,59.315464,59.0102003333333
b0021,258.130499,260.366282,238.067841333333
b0022,638.317793333333,597.573196,601.48556
b0023,1481.690858,1377.310739,1612.050268
b0024,9.005319,11.321485,9.97461
b0025,167.649901666667,158.726578666667,167.471804
b0026,299.245816333333,281.320882666667,303.772846333333
b0027,335.389808666667,269.569467666667,309.729542
b0028,198.546313,167.559036,197.069467666667
b0029,93.587983,94.258065,91.596264
b0030,77.3849413333333,82.264295,78.1177096666667
b0031,81.7775586666667,75.55828,79.866766
b0032,34.359758,40.6702173333333,34.1957333333333
b0033,47.142334,50.790889,52.8092676666667
b0034,7.24366166666667,9.34361233333333,8.08741766666667
b0035,3.405072,4.25772866666667,3.03021266666667
b0036,3.47087566666667,3.28340466666667,2.91732366666667
b0037,3.42392433333333,3.89818,4.073096
b0038,9.17170466666667,6.71664266666667,8.44389166666667
b0039,12.6872896666667,13.2158083333333,11.860607
b0040,1.73747433333333,1.65612733333333,1.86612933333333
b0041,1.80138766666667,1.08364233333333,1.48575933333333
b0042,1.121758,2.32896566666667,1.27870466666667
b0043,1.05178033333333,1.010994,1.22608066666667
b0044,1.13407366666667,1.255829,0.505650666666667
b0045,1.84602166666667,1.93345266666667,1.08839633333333
b0046,17.8730116666667,21.2358833333333,20.7749833333333
b0047,17.5017526666667,17.8975786666667,16.8343706666667
b0048,56.3107966666667,54.3984556666667,47.9656973333333
b0049,110.470509,119.848247333333,104.108871333333
b0050,112.823528666667,127.983549666667,105.022126
b0051,256.096400666667,248.101199666667,243.759437666667
b0052,208.461441,203.369846,182.588201666667
b0053,471.492492666667,404.778342333333,419.233505
b0054,250.932537333333,254.194430333333,235.859182
b0055,73.8920603333333,63.3951706666667,64.870058
b0056,16.369996,22.3555783333333,17.2066156666667
b0057,15.626024,12.2445636666667,22.1801556666667
b0058,48.495993,48.1840353333333,49.5501083333333
b0059,45.123801,43.390129,43.1413063333333
b0060,33.8247476666667,32.326094,33.8575823333333
b0061,2.932461,2.96737466666667,3.14924733333333
b0062,6.47307066666667,6.66034733333333,6.292146
b0063,3.86016633333333,3.49261,3.65459033333333
b0064,48.4088683333333,43.7402793333333,48.618971
b0065,338.108004,360.176597666667,303.105344666667
b0066,23.9634546666667,22.5122416666667,24.943692
b0067,8.28191766666667,8.35138933333333,7.34332466666667
b0068,12.3828296666667,12.3578483333333,10.1503536666667
b0069,35.8277606666667,35.9550693333333,35.483403
b4662,10.2272436666667,3.71690166666667,0
b0070,16.0387113333333,20.39861,16.6257446666667
b0071,67.9323866666667,62.7141943333333,65.8875656666667
b0072,48.8691026666667,46.2463713333333,48.7946803333333
b0073,44.836459,43.311138,42.7945523333333
b0074,35.8043653333333,29.9879216666667,34.9813733333333
b0075,0,0,0
b0076,3.42761633333333,3.84860733333333,3.347212
b4726,0,0,0
b0077,9.61215233333333,9.48376133333333,9.096685
b0078,12.065103,13.333489,13.15903
b0080,245.253345,215.179754666667,229.048392
b0081,301.311993666667,241.696990666667,292.717631
b0082,162.831977333333,144.831137666667,152.660777666667
b0083,122.083253333333,103.180229666667,123.950039333333
b0084,93.2979216666667,80.220821,90.6246396666667
b0085,172.348425,156.088109,164.009522
b0086,165.527723333333,149.42009,155.428461666667
b0087,166.945584,159.236015666667,141.940083
b0088,168.691902,159.003284666667,158.458680666667
b0089,138.734616,132.593242333333,132.124727666667
b0090,159.7816,157.423664666667,156.621498333333
b0091,233.526128,210.677175,225.560551
b0092,191.474370666667,195.299037333333,188.889216333333
b0093,253.771268666667,256.045728333333,264.207050333333
b0094,208.955549666667,193.970574333333,205.451393333333
b0095,699.992195666667,726.915835666667,677.755042666667
b0096,2150.81294333333,1966.93418933333,2224.00454666667
b0097,193.989993,195.021905666667,199.378351
b0098,234.929735333333,217.321809666667,229.178161333333
b0099,5.60272666666667,9.10931333333333,7.323519
b0101,68.3109943333333,59.3657046666667,67.9080116666667
b0102,47.57133,46.4083353333333,43.711209
b0103,30.1602656666667,29.005371,31.273331
b4727,0,0,0
b0104,35.997397,36.056345,33.1102516666667
b0106,7.64217033333333,7.68129933333333,7.01273
b0107,11.3513106666667,11.453955,10.1057536666667
b0108,4.71341866666667,4.12584533333333,5.03008366666667
b0109,78.860751,74.6990966666667,79.0190203333333
b0110,127.583630666667,127.425535,128.866860333333
b0111,96.296283,101.848249,87.508482
b0112,44.6799806666667,41.8701816666667,37.5781616666667
b0113,154.930925,146.870324,143.083313333333
b0114,1171.64844933333,1089.83584233333,1287.82313
b0115,1310.81908433333,1163.16582133333,1440.55681933333
b0116,1350.54676433333,1265.16093966667,1477.85985766667
b0117,9.37779266666667,9.723135,8.90923233333333
