Names,NAB,CAB_1,CAB_2,CAB_3,CAB_4
b0001,0,0,0,0,0
b0002,121.258568,245.644392,26.8643116666667,34.5851306666667,70.052421
b0003,102.863,147.520569,31.989938,39.7922163333333,93.4369396666667
b0004,115.0592395,181.28249,30.3581686666667,63.2005316666667,104.053221
b0005,116.977765,35.029211,319.968565666667,470.068283,312.451951
b0006,25.8160565,38.22676,40.7941083333333,19.2131973333333,36.9659116666667
b0007,11.6564245,2.315375,3.01784733333333,4.772992,4.50928466666667
b0008,500.5155225,981.088523,945.661791,1426.07228566667,1261.44019433333
b0009,119.1568775,130.511584,219.633476666667,129.776055,193.426385333333
b0010,51.270844,64.754519,126.599535333333,157.722659,136.908657333333
b0011,13.0158895,6.011939,13.116306,12.5379073333333,10.5362656666667
b0012,4.1364935,0,1.24797633333333,0,0.950187
b0013,2.3694835,0,5.25385633333333,6.51297,6.24928266666667
b0014,553.783185,375.04458,1055.382666,620.606024666667,768.456673666667
b0015,42.839312,40.138434,137.882549333333,65.6446793333333,101.635278
b0016,57.2111515,52.929502,107.600518666667,72.929313,114.358812666667
b0018,250.338358,99.149892,82.3932923333333,26.6807416666667,75.6190256666667
b4412,0,0,74.4324703333333,0,0
b0019,240.843184,140.676208,178.272241666667,59.927367,59.281807
b0020,53.145862,10.529784,14.436965,7.19312433333333,8.77493433333333
b0021,0.372905,0,0.976458,0.561499,1.01180866666667
b0022,13.190785,0,12.229695,2.134783,2.95549166666667
b0023,1181.495346,1602.738181,2128.11949166667,1098.468466,2592.19855766667
b0024,0,0,0,5.279047,37.3915946666667
b0025,85.9898555,162.50857,182.553897333333,175.847768,433.741708666667
b0026,62.0220745,151.800563,107.552610666667,141.838013,301.025064333333
b0027,37.1710215,51.229112,42.8604283333333,109.556764,194.894197333333
b0028,32.2357815,81.552115,64.5470693333333,91.3458686666667,188.292592333333
b0029,27.6819785,45.751519,38.7222536666667,66.036359,101.886441333333
b0030,18.151749,43.612674,56.698048,30.521871,27.9165616666667
b0031,25.664802,38.774878,35.690693,78.5100806666667,104.768851666667
b0032,38.62227,8.78043,4.59964966666667,2.68618633333333,12.5179743333333
b0033,39.7214825,5.82008,5.936036,5.677667,12.6752466666667
b0034,618.656572,726.783384,434.970777333333,223.520682333333,14.4818653333333
b0035,2.3758235,0,1.93580866666667,2.71133333333333,2.76970066666667
b0036,0.6812055,0.647698,4.84886466666667,2.50723766666667,3.32873533333333
b0037,19.4609925,2.618025,2.241312,2.822901,2.59995366666667
b0038,35.743263,11.331677,9.139227,3.772633,9.349033
b0039,216.4251195,42.664726,33.3497316666667,14.637879,26.699205
b0040,0.8788415,3.239656,1.20650966666667,1.211326,2.65040933333333
b0041,1.4018835,1.333787,0,0.917738666666667,0.952666
b0042,1.2105045,1.495478,1.400214,1.91440633333333,2.82567766666667
b0043,1.48066,3.302049,2.244063,3.646064,1.06987333333333
b0044,0,0,0,0,0
b0045,0.293132,0.632555,2.00330966666667,1.934883,2.163239
b0046,19.967165,16.470351,16.275153,15.3735276666667,13.415416
